School ID,school_name,type,size,budget
0,Huang High School,District,2917,1910635.00
1,Figueroa High School,District,2949,1884411.00
2,Shelton High School,Charter,1761,1056600.00
3,Hernandez High School,District,4635,3022020.00
4,Griffin High School,Charter,1468,917500.00
5,Wilson High School,Charter,2283,1319574.00
6,Cabrera High School,Charter,1858,1081356.00
7,Bailey High School,District,4976,3124928.00
8,Holden High School,Charter,427,248087.00
9,Pena High School,Charter,962,585858.00
10,Wright High School,Charter,1800,1049400.00
11,Rodriguez High School,District,3999,2547363.00
12,Johnson High School,District,4761,3094650.00
13,Ford High School,District,2739,1763916.00
14,Thomas High School,Charter,1635,1043130.00